"filename", "language", "Python", "YAML", "JSON", "Shell Script", "pip requirements", "Markdown", "Docker", "comment", "blank", "total"
"c:\Users\Q\Desktop\paper2github\model_1D\One_dimsion\GoogleNetV2_1D\param\GoogleNetV2_1D_CH1_SRC.py", "Python", -71, 0, 0, 0, 0, 0, 0, -38, -20, -129
"c:\Users\Q\Desktop\paper2github\model_1D\One_dimsion\GoogleNetV2_1D\param\model_paramters1.py", "Python", -4, 0, 0, 0, 0, 0, 0, -2, -3, -9
"c:\Users\Q\Desktop\paper2github\model_1D\One_dimsion\GoogleNetV2_1D\param\model_paramters2.py", "Python", -4, 0, 0, 0, 0, 0, 0, -2, -2, -8
"c:\Users\Q\Desktop\paper2github\model_1D\One_dimsion\GoogleNetV2_1D\param\model_paramters3.py", "Python", -13, 0, 0, 0, 0, 0, 0, -4, -8, -25
"c:\Users\Q\Desktop\paper2github\model_1D\One_dimsion\LSTM_nofinish\Gen_1Dnormalized_data.py", "Python", -25, 0, 0, 0, 0, 0, 0, -11, -9, -45
"c:\Users\Q\Desktop\paper2github\model_1D\One_dimsion\LSTM_nofinish\LSTM1.py", "Python", -89, 0, 0, 0, 0, 0, 0, -25, -40, -154
"c:\Users\Q\Desktop\paper2github\model_1D\One_dimsion\LSTM_nofinish\LSTM2.py", "Python", -108, 0, 0, 0, 0, 0, 0, -11, -30, -149
"c:\Users\Q\Desktop\paper2github\model_1D\One_dimsion\LSTM_nofinish\LSTM3.py", "Python", -68, 0, 0, 0, 0, 0, 0, -28, -33, -129
"c:\Users\Q\Desktop\paper2github\model_1D\One_dimsion\LSTM_nofinish\LSTM33.py", "Python", -78, 0, 0, 0, 0, 0, 0, -26, -35, -139
"c:\Users\Q\Desktop\paper2github\model_1D\One_dimsion\LSTM_nofinish\MyDataset_LSTM.py", "Python", -31, 0, 0, 0, 0, 0, 0, 0, -8, -39
"c:\Users\Q\Desktop\paper2github\model_1D\One_dimsion\ResNet50_1D\param\ResNet18_1D_CH1_SRC1.py", "Python", -62, 0, 0, 0, 0, 0, 0, -4, -15, -81
