Date : 2025-03-28 14:04:20
Directory : c:\Users\Q\Desktop\paper2github
Total : 157 files,  -23187 codes, -1725 comments, -3679 blanks, all -28591 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| pip requirements |          1 |        -18 |        -26 |         -7 |        -51 |
| Docker           |          2 |        -25 |        -46 |        -29 |       -100 |
| Shell Script     |          9 |       -166 |        -90 |        -39 |       -295 |
| Markdown         |          6 |     -1,122 |         -8 |       -453 |     -1,583 |
| JSON             |          3 |     -2,680 |          0 |         -3 |     -2,683 |
| YAML             |         65 |     -5,109 |       -427 |       -480 |     -6,016 |
| Python           |         71 |    -14,067 |     -1,128 |     -2,668 |    -17,863 |
+------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                   |        157 |    -23,187 |     -1,725 |     -3,679 |    -28,591 |
| model_1D                                                                                            |         14 |       -791 |       -199 |       -248 |     -1,238 |
| model_1D\One_dimsion                                                                                |         14 |       -791 |       -199 |       -248 |     -1,238 |
| model_1D\One_dimsion\GoogleNetV2_1D                                                                 |          4 |        -92 |        -46 |        -33 |       -171 |
| model_1D\One_dimsion\GoogleNetV2_1D\param                                                           |          4 |        -92 |        -46 |        -33 |       -171 |
| model_1D\One_dimsion\LSTM_nofinish                                                                  |          6 |       -399 |       -101 |       -155 |       -655 |
| model_1D\One_dimsion\ResNet50_1D                                                                    |          2 |        -66 |         -6 |        -17 |        -89 |
| model_1D\One_dimsion\ResNet50_1D\param                                                              |          2 |        -66 |         -6 |        -17 |        -89 |
| model_1D\One_dimsion\VGG16_1D                                                                       |          2 |       -234 |        -46 |        -43 |       -323 |
| model_1D\One_dimsion\VGG16_1D\params                                                                |          2 |       -234 |        -46 |        -43 |       -323 |
| model_2D                                                                                            |        143 |    -22,396 |     -1,526 |     -3,431 |    -27,353 |
| model_2D\1yolov5                                                                                    |        137 |    -22,229 |     -1,519 |     -3,389 |    -27,137 |
| model_2D\1yolov5 (Files)                                                                            |         12 |     -3,751 |       -210 |       -654 |     -4,615 |
| model_2D\1yolov5\.github                                                                            |         14 |       -618 |        -64 |       -107 |       -789 |
| model_2D\1yolov5\.github (Files)                                                                    |          1 |        -22 |         -3 |         -3 |        -28 |
| model_2D\1yolov5\.github\ISSUE_TEMPLATE                                                             |          4 |       -160 |         -4 |        -19 |       -183 |
| model_2D\1yolov5\.github\workflows                                                                  |          9 |       -436 |        -57 |        -85 |       -578 |
| model_2D\1yolov5\classify                                                                           |          4 |     -2,121 |        -53 |       -106 |     -2,280 |
| model_2D\1yolov5\data                                                                               |         27 |     -3,456 |       -289 |       -155 |     -3,900 |
| model_2D\1yolov5\data (Files)                                                                       |         14 |     -3,155 |       -177 |       -111 |     -3,443 |
| model_2D\1yolov5\data\hyps                                                                          |          6 |       -170 |        -34 |        -13 |       -217 |
| model_2D\1yolov5\data\scripts                                                                       |          7 |       -131 |        -78 |        -31 |       -240 |
| model_2D\1yolov5\models                                                                             |         34 |     -3,159 |       -272 |       -580 |     -4,011 |
| model_2D\1yolov5\models (Files)                                                                     |         10 |     -2,203 |       -145 |       -376 |     -2,724 |
| model_2D\1yolov5\models\hub                                                                         |         19 |       -771 |       -102 |       -164 |     -1,037 |
| model_2D\1yolov5\models\segment                                                                     |          5 |       -185 |        -25 |        -40 |       -250 |
| model_2D\1yolov5\segment                                                                            |          4 |     -1,888 |       -128 |       -167 |     -2,183 |
| model_2D\1yolov5\utils                                                                              |         42 |     -7,236 |       -503 |     -1,620 |     -9,359 |
| model_2D\1yolov5\utils (Files)                                                                      |         14 |     -4,332 |       -286 |       -888 |     -5,506 |
| model_2D\1yolov5\utils\aws                                                                          |          4 |        -63 |        -16 |        -18 |        -97 |
| model_2D\1yolov5\utils\docker                                                                       |          1 |        -16 |        -36 |        -22 |        -74 |
| model_2D\1yolov5\utils\flask_rest_api                                                               |          3 |        -98 |         -7 |        -34 |       -139 |
| model_2D\1yolov5\utils\google_app_engine                                                            |          2 |        -20 |        -10 |        -11 |        -41 |
| model_2D\1yolov5\utils\loggers                                                                      |         11 |     -1,761 |        -76 |       -473 |     -2,310 |
| model_2D\1yolov5\utils\loggers (Files)                                                              |          1 |       -387 |        -12 |        -72 |       -471 |
| model_2D\1yolov5\utils\loggers\clearml                                                              |          4 |       -390 |        -40 |       -124 |       -554 |
| model_2D\1yolov5\utils\loggers\comet                                                                |          4 |       -809 |        -18 |       -246 |     -1,073 |
| model_2D\1yolov5\utils\loggers\wandb                                                                |          2 |       -175 |         -6 |        -31 |       -212 |
| model_2D\1yolov5\utils\segment                                                                      |          7 |       -946 |        -72 |       -174 |     -1,192 |
| model_2D\4DenseNet                                                                                  |          2 |        -78 |         -3 |        -24 |       -105 |
| model_2D\4DenseNet\param                                                                            |          2 |        -78 |         -3 |        -24 |       -105 |
| model_2D\5AlexNet                                                                                   |          2 |        -40 |         -2 |         -5 |        -47 |
| model_2D\5AlexNet\param                                                                             |          2 |        -40 |         -2 |         -5 |        -47 |
| model_2D\6SeNet                                                                                     |          2 |        -49 |         -2 |        -13 |        -64 |
| model_2D\6SeNet\param                                                                               |          2 |        -49 |         -2 |        -13 |        -64 |
+-----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                            | language         | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| c:\Users\Q\Desktop\paper2github\model_1D\One_dimsion\GoogleNetV2_1D\param\GoogleNetV2_1D_CH1_SRC.py | Python           |        -71 |        -38 |        -20 |       -129 |
| c:\Users\Q\Desktop\paper2github\model_1D\One_dimsion\GoogleNetV2_1D\param\model_paramters1.py       | Python           |         -4 |         -2 |         -3 |         -9 |
| c:\Users\Q\Desktop\paper2github\model_1D\One_dimsion\GoogleNetV2_1D\param\model_paramters2.py       | Python           |         -4 |         -2 |         -2 |         -8 |
| c:\Users\Q\Desktop\paper2github\model_1D\One_dimsion\GoogleNetV2_1D\param\model_paramters3.py       | Python           |        -13 |         -4 |         -8 |        -25 |
| c:\Users\Q\Desktop\paper2github\model_1D\One_dimsion\LSTM_nofinish\Gen_1Dnormalized_data.py         | Python           |        -25 |        -11 |         -9 |        -45 |
| c:\Users\Q\Desktop\paper2github\model_1D\One_dimsion\LSTM_nofinish\LSTM1.py                         | Python           |        -89 |        -25 |        -40 |       -154 |
| c:\Users\Q\Desktop\paper2github\model_1D\One_dimsion\LSTM_nofinish\LSTM2.py                         | Python           |       -108 |        -11 |        -30 |       -149 |
| c:\Users\Q\Desktop\paper2github\model_1D\One_dimsion\LSTM_nofinish\LSTM3.py                         | Python           |        -68 |        -28 |        -33 |       -129 |
| c:\Users\Q\Desktop\paper2github\model_1D\One_dimsion\LSTM_nofinish\LSTM33.py                        | Python           |        -78 |        -26 |        -35 |       -139 |
| c:\Users\Q\Desktop\paper2github\model_1D\One_dimsion\LSTM_nofinish\MyDataset_LSTM.py                | Python           |        -31 |          0 |         -8 |        -39 |
| c:\Users\Q\Desktop\paper2github\model_1D\One_dimsion\ResNet50_1D\param\ResNet18_1D_CH1_SRC1.py      | Python           |        -62 |         -4 |        -15 |        -81 |
| c:\Users\Q\Desktop\paper2github\model_1D\One_dimsion\ResNet50_1D\param\model_paramters2.py          | Python           |         -4 |         -2 |         -2 |         -8 |
| c:\Users\Q\Desktop\paper2github\model_1D\One_dimsion\VGG16_1D\params\VGG16_1D_CH1_SRC2.py           | Python           |       -230 |        -44 |        -41 |       -315 |
| c:\Users\Q\Desktop\paper2github\model_1D\One_dimsion\VGG16_1D\params\model_paramters2.py            | Python           |         -4 |         -2 |         -2 |         -8 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\.github\ISSUE_TEMPLATE\bug-report.yml              | YAML             |        -76 |         -2 |         -8 |        -86 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\.github\ISSUE_TEMPLATE\config.yml                  | YAML             |        -11 |          0 |         -1 |        -12 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\.github\ISSUE_TEMPLATE\feature-request.yml         | YAML             |        -44 |         -1 |         -6 |        -51 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\.github\ISSUE_TEMPLATE\question.yml                | YAML             |        -29 |         -1 |         -4 |        -34 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\.github\dependabot.yml                             | YAML             |        -22 |         -3 |         -3 |        -28 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\.github\workflows\ci-testing.yml                   | YAML             |       -140 |         -4 |         -6 |       -150 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\.github\workflows\cla.yml                          | YAML             |        -30 |         -6 |         -4 |        -40 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\.github\workflows\codeql-analysis.yml              | YAML             |        -24 |        -20 |        -12 |        -56 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\.github\workflows\docker.yml                       | YAML             |        -49 |         -2 |        -10 |        -61 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\.github\workflows\format.yml                       | YAML             |        -21 |         -3 |         -4 |        -28 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\.github\workflows\greetings.yml                    | YAML             |        -41 |         -5 |        -20 |        -66 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\.github\workflows\links.yml                        | YAML             |        -57 |         -8 |         -7 |        -72 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\.github\workflows\merge-main-into-prs.yml          | YAML             |        -41 |         -8 |         -8 |        -57 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\.github\workflows\stale.yml                        | YAML             |        -33 |         -1 |        -14 |        -48 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\CITATION.cff                                       | YAML             |        -14 |          0 |         -1 |        -15 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\CONTRIBUTING.md                                    | Markdown         |        -42 |          0 |        -35 |        -77 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\README.md                                          | Markdown         |       -349 |         -4 |       -122 |       -475 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\README.zh-CN.md                                    | Markdown         |       -349 |         -4 |       -121 |       -474 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\benchmarks.py                                      | Python           |       -149 |         -6 |        -22 |       -177 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\classify\predict.py                                | Python           |       -196 |        -14 |        -31 |       -241 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\classify\train.py                                  | Python           |       -297 |        -33 |        -49 |       -379 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\classify\tutorial.ipynb                            | JSON             |     -1,481 |          0 |         -1 |     -1,482 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\classify\val.py                                    | Python           |       -147 |         -6 |        -25 |       -178 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\data\Argoverse.yaml                                | YAML             |        -47 |        -12 |        -14 |        -73 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\data\GlobalWheat2020.yaml                          | YAML             |        -32 |        -13 |         -8 |        -53 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\data\ImageNet.yaml                                 | YAML             |     -1,006 |        -11 |         -4 |     -1,021 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\data\ImageNet10.yaml                               | YAML             |        -16 |        -11 |         -4 |        -31 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\data\ImageNet100.yaml                              | YAML             |       -106 |        -11 |         -3 |       -120 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\data\ImageNet1000.yaml                             | YAML             |     -1,006 |        -11 |         -4 |     -1,021 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\data\Objects365.yaml                               | YAML             |       -411 |        -15 |        -11 |       -437 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\data\SKU-110K.yaml                                 | YAML             |        -31 |        -13 |         -8 |        -52 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\data\VOC.yaml                                      | YAML             |        -74 |        -12 |        -13 |        -99 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\data\VisDrone.yaml                                 | YAML             |        -46 |        -13 |        -10 |        -69 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\data\coco.yaml                                     | YAML             |        -96 |        -12 |         -7 |       -115 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\data\coco128-seg.yaml                              | YAML             |        -86 |        -10 |         -4 |       -100 |
